1,Grzegorz,Przybylski
2,Dominik,Wasilewski
3,Daria,Grabowska
4,Adam,Kowalski
5,Sebastian,Szymanski
6,Kamila,Mazurek
7,Piotr,Sadowski
8,Kinga,Zielinska
9,Sara,Lis
10,Wiktor,Sadowski
11,Weronika,Nowakowska
12,Adam,Dudi
13,Krzysztof,Mazurek
14,Oliwia,Sobczak
15,Antoni,Wrobel
16,Ignacy,Michalak
17,Oliwia,Witkowska
18,Zuzanna,Wieczorek
19,Blazej,Pawlak
20,Dariusz,Pawlak
21,Dariusz,Ostrowski
22,Maciej,Szewczyk
23,Oliwier,Sobczak
24,Norbert,Sobczak
25,Hubert,Maj
26,Grzegorz,Kaczmarek
27,Stanislaw,Kubiak
28,Monika,Kaminska
29,Jakub,Wlodarczyk
30,Wiktor,Urbaniak
31,Sebastian,Sawicki
32,Laura,Jaworska
33,Barbara,Kaczmarczyk
34,Kamil,Wieczorek
35,Hanna,Kaczmarek
36,Wiktor,Czarnecki
37,Oliwia,Kaminska
38,Antoni,Zalewski
39,Barbara,Sobolewski
40,Maciej,Piotrowski
41,Julia,Sikora
42,Jan,Krawczyk
43,Maja,Czarnecka
44,Michal,Kubiak
45,Julia,Sikora
46,Gabriela,Michalska
47,Lukasz,Sobolewski
48,Wojciech,Dudi
49,Oliwier,Gorski
50,Wiktor,Pawlowicz
51,Oliwia,Wozniak
52,Monika,Mazur
53,Lena,Jankowska
54,Szymon,Kowalik
55,Adam,Marciniak
56,Piotr,Malinowski
57,Klaudia,Wasilewska
58,Marcel,Sawicki
59,Adam,Szewczyk
60,Rafal,Grabowski
61,Blazej,Kowalik
62,Antoni,Wieczorek
63,Barbara,Dabrowska
64,Bartosz,Piotrowski
65,Bartosz,Witczak
66,Adam,Laskowski
67,Dominika,Dudek
68,Adam,Kowalewski
69,Wojciech,Borkowski
70,Mikolaj,Stepinski
71,Rafal,Baranowski
72,Jakub,Sobolewski
73,Grzegorz,Zajac
74,Paulina,Pietrzak
75,Ignacy,Majewski
76,Blanka,Sobolewski
77,Jan,Szymanski
78,Stanislaw,Brzezinski
79,Dominik,Jablonski
80,Arkadiusz,Zajac
81,Zofia,Maj
82,Wojciech,Zakrzewski
83,Igor,Wieczorek
84,Szymon,Dudi
85,Aleksander,Wasilewski
86,Franciszek,Wasilewski
87,Lena,Pietrzak
88,Bartosz,Krawczyk
89,Julia,Wieczorek
90,Anna,Szymanska
91,Maciej,Zajac
92,Daria,Baran
93,Zuzanna,Sobolewska
94,Damian,Wieczorek
95,Martyna,Tomaszewska
96,Kamil,Zielinski
97,Laura,Stepinska
98,Sebastian,Gajewski
99,Maja,Kubiak
100,Jan,Dudi
101,Kornelia,Wozniak
102,Natalia,Brzezinska
103,Bartosz,Lewandowski
104,Aleksandra,Lis
105,Filip,Dabrowski
106,Igor,Szymanski
107,Krzysztof,Borkowski
108,Dawid,Mazur
109,Paulina,Lewandowska
110,Dariusz,Maj
111,Damian,Zakrzewski
112,Stanislaw,Kurek
113,Szymon,Wojciechowski
114,Natalia,Mazur
115,Kinga,Sawicki
116,Stanislaw,Olszewski
117,Stanislaw,Lis
118,Martyna,Klimek
119,Igor,Nowak
120,Blazej,Wrobel
121,Oliwia,Szewczyk
122,Klaudia,Szewczyk
123,Igor,Wozniak
124,Agata,Walczak
125,Krzysztof,Sikori
126,Alicja,Pietrzak
127,Dariusz,Pawlowicz
128,Franciszek,Jaworski
129,Blazej,Kowalik
130,Jakub,Nowak
131,Oliwia,Malinowska
132,Karol,Kaczmarek
133,Karol,Michalak
134,Filip,Wieczorek
135,Nikola,Zajac
136,Bartosz,Wasilewski
137,Bartosz,Kubiak
138,Wiktor,Kwiatkowski
139,Robert,Laskowski
140,Norbert,Klimek
